fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231011 192601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1134	TRUE	880007	0.299856227587467	0.201841892351469	3100	1023	14449	673715000	82
20231011 195340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1238	TRUE	880007	0.183654513405508	0.200025525979369	3699	161	14198	661829000	83
20231011 202534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1513	TRUE	880007	0.171860228476386	0.200138580733188	7995	1024	11521	555772000	84
20231011 213112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1984	TRUE	880007	0.0754061948212731	0.342995094597706	1032	1023	14993	735882000	85
20231011 235831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9982	TRUE	880007	0.0102818624348623	0.999109644126288	3323	39	11359	539728000	86
20231012 010155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1480	TRUE	880007	0.0993862770834909	0.561790284301771	990	1024	13399	693756000	87
20231012 013242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	880007	0.123413757552313	0.200781117384054	944	1021	11197	628747000	88
20231012 025159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3753	TRUE	880007	0.0697072488476476	0.201546095815697	5826	630	13809	653436000	89
20231012 032123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	801	TRUE	880007	0.226771196432943	0.420228342050976	1287	659	15000	709107000	90
20231012 042026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1325	TRUE	880007	0.0741105110497307	0.569923970484412	545	380	14171	712425000	91
20231012 044112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	937	TRUE	880007	0.190705423777483	0.201713512543272	6132	1024	14994	628943000	92
20231012 050207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	880007	0.262601805528868	0.821687069771234	1770	213	14609	690746000	93
20231012 080759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9424	TRUE	880007	0.0109474312473999	0.987301321430099	5974	331	14999	633031000	94
20231012 100328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2602	TRUE	880007	0.0181266094990165	0.998221941840119	13	928	9873	569275000	95
20231012 101117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	302	TRUE	880007	0.0927389005951532	0.999976332772364	5961	1024	11571	497889000	96
20231012 104223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1266	TRUE	880007	0.118594440443513	0.610638570114249	4487	358	14999	666428000	97
20231012 105026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	880007	0.215872377594435	0.201413155428116	5663	20	11297	473977000	98
20231012 143816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8525	TRUE	880007	0.0102646911647234	0.200060213848573	7	683	12261	675395000	99
